Airport Name,Passenger,Population
Atlanta,53.485,506811
Los Angeles,42.880,3967000
Chicago O'Hare,40.872,31899
Dallas/Fort Worth,35.764,7573136
Denver,33.575,705576
New York JFK,31.036,8419000
San Francisco,27.701,874961
Seattle,24.962,724305
Orlando,24.550,280832
Las Vegas,24.411,634773
Charlotte,24.181,857425
Newark,23.140,281054
Phoenix,22.411,1633000
Houston Bush,21.897,2310000
Miami,21.292,454279
Boston,20.679,684379
Minneapolis,19.152,420324
Detroit Metro,18.122,5562285
Fort Lauderdale,17.936,180124
Philadelphia,15.989,1579000
New York LaGuardia,15.392,8419000
Baltimore,13.231,609032
Salt Lake City,12.829,197756
San Diego,12.641,1410000
Washington Dulles,11.857,7615000
Washington Reagan,11.576,7615000
Tampa,10.921,387916
Chicago Midway,10.064,2710000
Honolulu,9.893,348985
Portland,9.790,645291
Nashville,8.923,692587
Austin,8.498,950807
Dallas,8.069,1331000
St. Louis,7.750,308174
San Jose,7.676,1028000
Houston,7.057,2310000
Raleigh/Durham,6.907,110943
New Orleans,6.858,390845
Oakland,6.540,425097
Sacramento,6.448,500930
Kansas City,5.748,486404
Santa Ana,5.150,332794
Fort Myers,5.039,79927
San Antonio,5.021,1508000
Cleveland,4.884,385282
Indianapolis,4.684,864447
Pittsburgh,4.675,302205
San Juan,4.543,335468
Cincinnati,4.396,301394
Columbus,4.155,878553
Kahului,3.776,31336
Jacksonville,3.472,890467
West Palm Beach/Palm Beach,3.453,109767
Milwaukee,3.358,594548
Hartford,3.318,123088
Burbank,2.985,103703
Ontario,2.717,14570000
Anchorage,2.654,293531
Albuquerque,2.638,559374
Omaha,2.450,NAN
Buffalo,2.448,NAN
Charleston,2.375,NAN
Memphis,2.307,NAN
Richmond,2.187,NAN
Reno,2.157,NAN
Oklahoma City,2.132,NAN
Boise,2.054,NAN
Louisville,2.035,NAN
Norfolk,1.987,NAN
Providence,1.965,NAN
Spokane,1.941,NAN
Kona,1.926,NAN
Tucson,1.845,NAN
Grand Rapids,1.784,NAN
Long Beach,1.749,NAN
El Paso,1.738,NAN
Lihue,1.629,NAN
Birmingham,1.511,NAN
Sanford,1.510,NAN
